ID,CDS,Total,Female,Male,NativeAmericanorIndian,Asian,Pacific,Filipino,Hispanic,AfricanAmerican,White,MultipleRace,NoRace,D7,D8,D9,D10,D11,D12,Academic_Year,County,School,City,Zip,State,Latitude,Longitude
34,10101081030337,37,0,37,0,0,0,0,0,37,0,0,0,1,1,3,3,7,22,2010,Fresno,Alice M. Worsley,Fresno,93725,CA,36.663425,-119.73137
35,10101081030899,42,0,42,0,0,0,0,42,0,0,0,0,2,5,6,7,7,15,2006,Fresno,Violet Heintz Education Academy,Fresno,93727-1523,CA,36.7707,-119.73018
36,10101081030899,22,0,22,0,0,0,0,22,0,0,0,0,1,1,1,3,8,8,2016,Fresno,Violet Heintz Education Academy,Fresno,93727-1523,CA,36.7707,-119.73018
37,10101081030899,53,0,53,0,0,0,0,53,0,0,0,0,3,3,6,7,13,21,2010,Fresno,Violet Heintz Education Academy,Fresno,93727-1523,CA,36.7707,-119.73018
38,10101081030899,32,0,32,0,0,0,0,32,0,0,0,0,1,1,3,10,11,6,2009,Fresno,Violet Heintz Education Academy,Fresno,93727-1523,CA,36.7707,-119.73018
39,10101081030899,41,0,41,0,0,0,0,41,0,0,0,0,3,5,4,8,11,10,2008,Fresno,Violet Heintz Education Academy,Fresno,93727-1523,CA,36.7707,-119.73018
40,10101081030923,21,0,21,0,0,0,0,21,0,0,0,0,2,2,4,2,8,3,2006,Fresno,Kermit Koontz Education Complex,Fresno,93703-3938,CA,36.759913,-119.77926
41,10101081030923,14,0,14,0,0,0,0,14,0,0,0,0,1,1,1,2,3,6,2014,Fresno,Kermit Koontz Education Complex,Fresno,93703-3938,CA,36.759913,-119.77926
42,10101081030923,18,0,18,0,0,0,0,18,0,0,0,0,1,3,1,2,8,3,2011,Fresno,Kermit Koontz Education Complex,Fresno,93703-3938,CA,36.759913,-119.77926
43,10101081030923,19,0,19,0,0,0,0,19,0,0,0,0,2,7,1,1,5,3,2008,Fresno,Kermit Koontz Education Complex,Fresno,93703-3938,CA,36.759913,-119.77926
44,10621171030469,17,0,17,0,0,0,0,0,0,17,0,0,2,1,2,2,4,6,2000,Fresno,Enterprise Alternative,Clovis,93611-0569,CA,36.837605,-119.68745
45,10621171030469,109,45,64,0,0,0,0,0,0,109,0,0,3,2,25,21,37,21,1993,Fresno,Enterprise Alternative,Clovis,93611-0569,CA,36.837605,-119.68745
46,10621171030469,67,13,54,0,0,0,0,24,0,43,0,0,5,9,11,14,15,13,1994,Fresno,Enterprise Alternative,Clovis,93611-0569,CA,36.837605,-119.68745
47,10621171030469,128,34,94,0,0,0,0,68,0,60,0,0,6,7,23,29,44,19,1991,Fresno,Enterprise Alternative,Clovis,93611-0569,CA,36.837605,-119.68745
